match_id,half,time,scorer,assister,is_og,is_goal_highlight,is_assist_highlight
2026-04-16#1,2H,39:53,Andres,,,,
2026-04-16#1,2H,41:01,James,Andres,,,
2026-04-16#1,2H,41:58,Bailey,,,,
2026-04-16#1,2H,43:30,Gio,,,,
2026-04-16#1,2H,45:03,Ines,,,,
2026-04-16#1,2H,46:36,James,Andres,,,
2026-04-16#1,2H,47:02,James,Bailey,,,
2026-04-16#1,2H,47:53,Andres,,,,
2026-04-16#1,2H,50:56,Ines,Bailey,,,
2026-04-23#1,1H,03:39,Jake,,,,
2026-04-23#1,1H,07:12,Jake,Lachlan,,,
2026-04-23#1,1H,09:10,Andres,,,,
2026-04-23#1,1H,09:43,Lachlan,Gio,,,
2026-04-23#1,1H,09:58,Austin,,,,
2026-04-23#1,1H,11:54,Ines,Austin,,,
2026-04-23#1,1H,14:02,Andres,Austin,,,
2026-04-23#1,1H,14:22,Andres,Richard,,,
2026-04-23#1,1H,15:15,Richard,,,,
2026-04-23#1,1H,15:37,Andres,,,,
2026-04-23#1,1H,17:10,Bailey,,,,
2026-04-23#1,1H,19:20,Austin,,,,
2026-04-23#1,1H,21:24,Bailey,,,,
2026-04-23#1,1H,22:30,Austin,,,,
2026-04-23#1,1H,23:40,Bailey,Austin,,,
2026-04-23#1,1H,24:12,Andres,Bailey,,,
2026-04-23#1,1H,24:58,Austin,Bailey,,,
2026-04-23#1,1H,26:04,Jake,,,,
2026-04-23#1,2H,28:27,James,,,,
2026-04-23#1,2H,33:38,Bailey,Andres,,,
2026-04-23#1,2H,35:00,Jake,,,,
2026-04-23#1,2H,36:29,Bailey,Austin,,,
2026-04-23#1,2H,41:06,Bailey,,,,
2026-04-23#1,2H,43:15,James,Gio,,,
2026-04-23#1,2H,44:21,James,Jake,,,
2026-04-23#1,2H,44:48,Gio,,,,
2026-04-23#1,2H,45:29,Austin,Bailey,,,
2026-04-23#1,2H,50:10,James,Gio,,,
2026-04-23#1,2H,51:38,Lachlan,,,,
2026-04-30#1,1H,02:58,Gio,,,,
2026-04-30#1,1H,03:23,James2,,,,
2026-04-30#1,1H,05:10,Jake,,,,
2026-04-30#1,1H,06:13,Xavier,Bailey,,,
2026-04-30#1,1H,08:50,Andres,Jake,,,
2026-04-30#1,1H,09:48,Bailey,Amin,,,
2026-04-30#1,1H,11:33,Gio,Andres,,,
2026-04-30#1,1H,11:55,Xavier,Bailey,,,
2026-04-30#1,1H,14:55,Andres,Gio,,,
2026-04-30#1,1H,15:20,Xavier,Richard,,,
2026-04-30#1,1H,18:05,Gio,James2,,,
2026-04-30#1,1H,20:05,Bailey,Lachlan,,,
2026-04-30#1,1H,22:05,Amin,Xavier,,,
2026-04-30#1,1H,22:27,Bailey,,,,
2026-04-30#1,1H,22:30,James,Andres,,,
2026-04-30#1,1H,28:00,Andres,Gio,,,
2026-04-30#1,2H,31:00,Jake,Andres,,,
2026-04-30#1,2H,38:09,James2,Andres,,,
2026-04-30#1,2H,38:30,Amin,Bailey,,,
2026-04-30#1,2H,39:28,Andres,,,,
2026-04-30#1,2H,40:25,Gio,,,,
2026-04-30#1,2H,43:02,James2,Gio,,,
2026-04-30#1,2H,44:00,Gio,,,,
2026-04-30#1,2H,45:50,Lachlan,Richard,,,
2026-04-30#1,2H,46:25,Xavier,,,,
2026-04-30#1,2H,47:27,James,Gio,,,
2026-04-30#1,2H,49:40,James,Gio,,,
2026-04-30#1,2H,53:25,James,Jake,,,
2026-04-30#1,2H,55:03,Lachlan,Bailey,,,
